"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.857438490E-1,-1.467645645E0,9.692028046E0,7.182605099E-3,9.802522276E0
3.877438820E-1,-1.467645645E0,9.696816444E0,1.197100803E-2,9.807261402E0
3.897439150E-1,-1.482010841E0,9.701604843E0,-7.182605099E-3,9.814150206E0
3.917439150E-1,-1.489193439E0,9.696816444E0,-2.394201700E-3,9.810502127E0
3.937438810E-1,-1.505952835E0,9.694421768E0,1.197100803E-2,9.810700824E0
3.957447140E-1,-1.501164436E0,9.689633369E0,4.070143029E-2,9.805312137E0
3.977455470E-1,-1.508347034E0,9.684844971E0,3.351882473E-2,9.801655799E0
3.997455130E-1,-1.496376038E0,9.677662849E0,2.633621916E-2,9.792701010E0
4.017454790E-1,-1.513135433E0,9.680056572E0,-2.394201700E-3,9.797605820E0
4.037454450E-1,-1.496376038E0,9.660902977E0,-2.154781483E-2,9.776126630E0
4.057454450E-1,-1.498770237E0,9.660902977E0,-2.394201607E-2,9.776498953E0
4.077454450E-1,-1.477222443E0,9.656114578E0,-2.154781483E-2,9.768479882E0
4.097454780E-1,-1.472434044E0,9.634567261E0,-2.394201607E-2,9.746462001E0
4.117455110E-1,-1.472434044E0,9.620202065E0,-2.394201607E-2,9.732261967E0
4.137455440E-1,-1.472434044E0,9.593865395E0,9.576806799E-3,9.706204559E0
4.157447100E-1,-1.472434044E0,9.593865395E0,9.576806799E-3,9.706204559E0
4.177438760E-1,-1.472434044E0,9.593865395E0,9.576806799E-3,9.706204559E0
4.197444760E-1,-1.470039845E0,9.589076996E0,1.915361360E-2,9.701122700E0
4.217445090E-1,-1.450886250E0,9.577106476E0,7.182605099E-3,9.686386888E0
4.237445090E-1,-1.450886250E0,9.574711800E0,7.182605099E-3,9.684019235E0
4.257445090E-1,-1.453280449E0,9.572318077E0,7.182605099E-3,9.682011621E0
4.277445090E-1,-1.467645645E0,9.596260071E0,1.675941236E-2,9.707856198E0
4.297445090E-1,-1.465251446E0,9.591471672E0,4.788403399E-3,9.702747733E0
4.317445090E-1,-1.462857246E0,9.610625267E0,-1.197100803E-2,9.721327721E0
4.337445090E-1,-1.465251446E0,9.613018990E0,-3.830722719E-2,9.724122754E0
4.357452750E-1,-1.465251446E0,9.624990463E0,-2.154781483E-2,9.735906097E0
4.377461080E-1,-1.448492050E0,9.663297653E0,-1.197100803E-2,9.771263688E0
