"event","experiment time","system time","system time text"
"START",0.000000000E0,1693650304.540,"2023-09-02 15:55:04.540 UTC+05:30"
"PAUSE",5.702794600E1,1693650361.568,"2023-09-02 15:56:01.568 UTC+05:30"
