"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.431496630E-1,5.458779931E-1,9.806949615E0,3.327940404E-1,9.827766553E0
1.451496960E-1,5.434837937E-1,9.778219223E0,3.399766386E-1,9.799210679E0
1.471497290E-1,5.386953950E-1,9.785401344E0,3.447650373E-1,9.806280392E0
1.491488950E-1,5.386953950E-1,9.785401344E0,3.447650373E-1,9.806280392E0
1.511480610E-1,5.386953950E-1,9.785401344E0,3.447650373E-1,9.806280392E0
1.531479610E-1,5.410895944E-1,9.778219223E0,3.471592367E-1,9.799330011E0
1.551479940E-1,5.267243981E-1,9.756670952E0,3.423708379E-1,9.776874984E0
1.571480270E-1,5.003881454E-1,9.768642426E0,3.447650373E-1,9.787524001E0
1.591480600E-1,4.884171486E-1,9.761459351E0,3.423708379E-1,9.779665524E0
1.611480600E-1,5.027823448E-1,9.747094154E0,3.495534360E-1,9.766310570E0
1.631480600E-1,5.099649429E-1,9.751882553E0,3.567360640E-1,9.771721353E0
1.651480600E-1,5.027823448E-1,9.747094154E0,3.591302633E-1,9.766658031E0
1.671480600E-1,4.860229492E-1,9.744700432E0,3.519476354E-1,9.763158913E0
1.691489260E-1,4.740519226E-1,9.756670952E0,3.519476354E-1,9.774518936E0
1.711497920E-1,4.764461517E-1,9.763854027E0,3.495534360E-1,9.781719378E0
1.731497580E-1,4.692635238E-1,9.761459351E0,3.399766386E-1,9.778644130E0
1.751497240E-1,4.740519226E-1,9.768642426E0,3.256114423E-1,9.785556851E0
1.771496900E-1,4.548983276E-1,9.766247749E0,3.136404157E-1,9.781865768E0
1.791496560E-1,4.477157295E-1,9.768642426E0,3.256114423E-1,9.784316380E0
1.811496220E-1,4.453215301E-1,9.768642426E0,3.375824392E-1,9.784612818E0
1.831495880E-1,4.453215301E-1,9.763854027E0,3.519476354E-1,9.780338637E0
1.851495540E-1,4.429273009E-1,9.763854027E0,3.567360640E-1,9.780403400E0
1.871495200E-1,4.716577232E-1,9.768642426E0,3.543418646E-1,9.786439291E0
1.891486530E-1,4.716577232E-1,9.768642426E0,3.543418646E-1,9.786439291E0
1.911478190E-1,4.716577232E-1,9.768642426E0,3.543418646E-1,9.786439291E0
1.931478520E-1,4.740519226E-1,9.754277229E0,3.375824392E-1,9.771622762E0
1.951478850E-1,4.692635238E-1,9.756670952E0,3.256114423E-1,9.773375012E0
1.971479180E-1,4.740519226E-1,9.754277229E0,3.184288144E-1,9.770979808E0
1.991479510E-1,4.860229492E-1,9.756670952E0,3.208230138E-1,9.774035695E0
2.011479840E-1,5.027823448E-1,9.759065628E0,3.256114423E-1,9.777431914E0
2.031477170E-1,4.979939461E-1,9.751882553E0,3.280056417E-1,9.770097185E0
2.051477170E-1,5.027823448E-1,9.754277229E0,3.423708379E-1,9.773225268E0
2.071476830E-1,4.979939461E-1,9.763854027E0,3.663128614E-1,9.783405774E0
2.091485160E-1,5.027823448E-1,9.759065628E0,3.639186621E-1,9.778782583E0
2.111493490E-1,5.027823448E-1,9.763854027E0,3.687070608E-1,9.783740616E0
2.131494490E-1,5.099649429E-1,9.778219223E0,3.878606856E-1,9.799187279E0
2.151494150E-1,5.171475410E-1,9.768642426E0,3.974374831E-1,9.790391870E0
2.171493810E-1,5.075707436E-1,9.763854027E0,3.878606856E-1,9.784728378E0
2.191493470E-1,5.027823448E-1,9.756670952E0,3.878606856E-1,9.777313233E0
2.211493470E-1,4.979939461E-1,9.754277229E0,3.711012602E-1,9.774028769E0
2.231493800E-1,4.860229492E-1,9.759065628E0,3.639186621E-1,9.777935213E0
2.251494130E-1,4.932055473E-1,9.761459351E0,3.423708379E-1,9.779905836E0
2.271494460E-1,5.506663918E-1,9.768642426E0,3.351882398E-1,9.789890677E0
2.291486120E-1,5.506663918E-1,9.768642426E0,3.351882398E-1,9.789890677E0
2.311477780E-1,5.506663918E-1,9.768642426E0,3.351882398E-1,9.789890677E0
2.331478110E-1,5.482721925E-1,9.766247749E0,3.375824392E-1,9.787449075E0
2.351474440E-1,5.195417404E-1,9.761459351E0,3.399766386E-1,9.781185838E0
2.371474770E-1,5.123591423E-1,9.766247749E0,3.375824392E-1,9.785502997E0
2.391474770E-1,5.003881454E-1,9.763854027E0,3.519476354E-1,9.783000608E0
2.411474770E-1,5.051765442E-1,9.754277229E0,3.447650373E-1,9.773432894E0
2.431474770E-1,5.027823448E-1,9.751882553E0,3.375824392E-1,9.770668622E0
2.451474770E-1,4.955997467E-1,9.754277229E0,3.399766386E-1,9.772774810E0
2.471474770E-1,4.692635238E-1,9.754277229E0,3.567360640E-1,9.772072101E0
2.491483430E-1,4.548983276E-1,9.754277229E0,3.519476354E-1,9.771219161E0
2.511491760E-1,4.477157295E-1,9.742305756E0,3.447650373E-1,9.758679918E0
2.531491420E-1,4.453215301E-1,9.763854027E0,3.447650373E-1,9.780082804E0
2.551491080E-1,4.453215301E-1,9.768642426E0,3.519476354E-1,9.785118969E0
2.571490740E-1,4.309563041E-1,9.763854027E0,3.591302633E-1,9.779956203E0
2.591490400E-1,4.357447028E-1,9.754277229E0,3.567360640E-1,9.770519860E0
2.611490060E-1,4.237737060E-1,9.749488831E0,3.495534360E-1,9.764952853E0
2.631489720E-1,4.213795066E-1,9.754277229E0,3.399766386E-1,9.769292148E0
2.651489380E-1,4.046200812E-1,9.744700432E0,3.399766386E-1,9.759020854E0
2.671489380E-1,4.333505034E-1,9.744700432E0,3.567360640E-1,9.760852411E0
2.691481040E-1,4.333505034E-1,9.744700432E0,3.567360640E-1,9.760852411E0
2.711472700E-1,4.285621047E-1,9.739912033E0,3.615244627E-1,9.756036686E0
2.731470030E-1,4.237737060E-1,9.749488831E0,3.591302633E-1,9.765300362E0
2.751470360E-1,4.237737060E-1,9.759065628E0,3.615244627E-1,9.774949924E0
2.771470690E-1,4.070142806E-1,9.775824547E0,3.639186621E-1,9.791059339E0
2.791471020E-1,4.309563041E-1,9.766247749E0,3.591302633E-1,9.782345986E0
2.811471350E-1,4.381389022E-1,9.761459351E0,3.639186621E-1,9.778061727E0
2.831471350E-1,4.525041282E-1,9.763854027E0,3.447650373E-1,9.780412485E0
2.851471010E-1,4.501099288E-1,9.763854027E0,3.232172430E-1,9.779566135E0
2.871470670E-1,4.620809257E-1,9.773430824E0,3.280056417E-1,9.789844563E0
2.891476670E-1,4.668693244E-1,9.785401344E0,3.399766386E-1,9.802429829E0
2.911485000E-1,4.668693244E-1,9.785401344E0,3.543418646E-1,9.802938569E0
2.931484660E-1,4.764461517E-1,9.773430824E0,3.519476354E-1,9.791364468E0
2.951488320E-1,4.860229492E-1,9.766247749E0,3.471592367E-1,9.784494517E0
2.971487980E-1,5.027823448E-1,9.775824547E0,3.447650373E-1,9.794814883E0
2.991487980E-1,4.979939461E-1,9.778219223E0,3.471592367E-1,9.797044895E0
3.011488310E-1,4.860229492E-1,9.780612946E0,3.423708379E-1,9.798664485E0
3.031488640E-1,4.860229492E-1,9.775824547E0,3.136404157E-1,9.792922658E0
3.051488970E-1,4.812345505E-1,9.783007622E0,3.184288144E-1,9.800011313E0
3.071489300E-1,4.501099288E-1,9.792584419E0,3.399766386E-1,9.808817088E0
3.091480960E-1,4.501099288E-1,9.792584419E0,3.399766386E-1,9.808817088E0
3.111472620E-1,4.501099288E-1,9.792584419E0,3.399766386E-1,9.808817088E0
3.131472950E-1,4.596867263E-1,9.792584419E0,3.471592367E-1,9.809512783E0
3.151473280E-1,4.572925270E-1,9.792584419E0,3.567360640E-1,9.809744476E0
3.171473280E-1,4.477157295E-1,9.787796021E0,3.543418646E-1,9.804435653E0
3.191473280E-1,4.453215301E-1,9.775824547E0,3.591302633E-1,9.792549790E0
3.211473280E-1,4.405331016E-1,9.775824547E0,3.519476354E-1,9.792072412E0
3.231473280E-1,4.405331016E-1,9.766247749E0,3.495534360E-1,9.782425677E0
3.251473280E-1,4.333505034E-1,9.768642426E0,3.519476354E-1,9.784581475E0
3.271469940E-1,4.405331016E-1,9.775824547E0,3.567360640E-1,9.792245687E0
3.291478270E-1,4.333505034E-1,9.775824547E0,3.447650373E-1,9.791496370E0
3.311486600E-1,4.501099288E-1,9.773430824E0,3.399766386E-1,9.789695253E0
3.331489260E-1,4.405331016E-1,9.792584419E0,3.471592367E-1,9.808633878E0
3.351488920E-1,4.453215301E-1,9.773430824E0,3.567360640E-1,9.790072623E0
3.371488580E-1,4.309563041E-1,9.761459351E0,3.567360640E-1,9.777477824E0
3.391488240E-1,4.429273009E-1,9.751882553E0,3.639186621E-1,9.768717148E0
3.411487900E-1,4.572925270E-1,9.749488831E0,3.734954596E-1,9.767351113E0
3.431487560E-1,4.501099288E-1,9.766247749E0,3.639186621E-1,9.783385449E0
3.451487560E-1,4.429273009E-1,9.763854027E0,3.663128614E-1,9.780757392E0
3.471487890E-1,4.094084799E-1,9.756670952E0,3.495534360E-1,9.771511192E0
3.491481890E-1,4.094084799E-1,9.756670952E0,3.495534360E-1,9.771511192E0
3.511473550E-1,4.261679053E-1,9.761459351E0,3.543418646E-1,9.777180877E0
3.531473880E-1,4.261679053E-1,9.761459351E0,3.543418646E-1,9.777180877E0
3.551474210E-1,4.525041282E-1,9.778219223E0,3.591302633E-1,9.795269558E0
3.571474540E-1,4.525041282E-1,9.763854027E0,3.663128614E-1,9.781195763E0
3.591474870E-1,4.525041282E-1,9.763854027E0,3.734954596E-1,9.781467390E0
3.611474870E-1,4.596867263E-1,9.759065628E0,3.567360640E-1,9.776396802E0
3.631474530E-1,4.788403511E-1,9.766247749E0,3.495534360E-1,9.784225610E0
3.651474190E-1,4.836287498E-1,9.756670952E0,3.351882398E-1,9.774399009E0
3.671473850E-1,4.740519226E-1,9.749488831E0,3.256114423E-1,9.766436428E0
3.691482180E-1,5.075707436E-1,9.754277229E0,3.256114423E-1,9.772900037E0
3.711490510E-1,5.123591423E-1,9.749488831E0,3.232172430E-1,9.768291239E0
3.731490170E-1,5.147533417E-1,9.756670952E0,3.208230138E-1,9.775506456E0
3.751489830E-1,5.051765442E-1,9.775824547E0,3.351882398E-1,9.794605662E0
3.771489830E-1,5.171475410E-1,9.775824547E0,3.375824392E-1,9.795312606E0
3.791490160E-1,5.267243981E-1,9.785401344E0,3.136404157E-1,9.804585069E0
3.811490490E-1,5.171475410E-1,9.773430824E0,3.184288144E-1,9.792282092E0
3.831490820E-1,5.267243981E-1,9.766247749E0,3.136404157E-1,9.785469023E0
3.851491150E-1,5.243301988E-1,9.768642426E0,3.016694188E-1,9.787354159E0
3.871494810E-1,5.506663918E-1,9.785401344E0,3.495534360E-1,9.807114792E0
3.891486470E-1,5.506663918E-1,9.785401344E0,3.495534360E-1,9.807114792E0
3.911478130E-1,5.506663918E-1,9.785401344E0,3.495534360E-1,9.807114792E0
3.931476460E-1,5.434837937E-1,9.783007622E0,3.519476354E-1,9.804411247E0
3.951476460E-1,5.434837937E-1,9.787796021E0,3.471592367E-1,9.809018560E0
3.971476460E-1,5.267243981E-1,9.790189743E0,3.471592367E-1,9.810493022E0
3.991487790E-1,5.267243981E-1,9.780612946E0,3.567360640E-1,9.801279957E0
4.011487790E-1,5.315127969E-1,9.771036148E0,3.615244627E-1,9.792157740E0
4.031487120E-1,5.243301988E-1,9.783007622E0,3.591302633E-1,9.803628656E0
4.051487120E-1,5.243301988E-1,9.773430824E0,3.495534360E-1,9.793725534E0
4.071486780E-1,5.195417404E-1,9.780612946E0,3.615244627E-1,9.801072041E0
4.091495110E-1,5.123591423E-1,9.775824547E0,3.663128614E-1,9.796093230E0
4.111503440E-1,5.291185975E-1,9.768642426E0,3.687070608E-1,9.789907365E0
4.131503100E-1,5.434837937E-1,9.768642426E0,3.663128614E-1,9.790604403E0
4.151502760E-1,5.506663918E-1,9.759065628E0,3.734954596E-1,9.781722459E0
4.171502420E-1,5.219359994E-1,9.761459351E0,3.734954596E-1,9.782535699E0
4.191502080E-1,5.099649429E-1,9.756670952E0,3.663128614E-1,9.776854168E0
4.211501740E-1,5.219359994E-1,9.751882553E0,3.639186621E-1,9.772618242E0
4.231501740E-1,5.267243981E-1,9.754277229E0,3.543418646E-1,9.774912839E0
4.251502070E-1,5.075707436E-1,9.754277229E0,3.567360640E-1,9.773986543E0
4.271502400E-1,5.075707436E-1,9.754277229E0,3.567360640E-1,9.773986543E0
4.291493730E-1,5.075707436E-1,9.754277229E0,3.567360640E-1,9.773986543E0
4.311485390E-1,4.908113480E-1,9.754277229E0,3.495534360E-1,9.772871003E0
4.331485050E-1,4.740519226E-1,9.754277229E0,3.399766386E-1,9.771705767E0
4.351485380E-1,4.644751251E-1,9.766247749E0,3.351882398E-1,9.783030379E0
4.371485710E-1,4.596867263E-1,9.771036148E0,3.208230138E-1,9.787103080E0
4.391485710E-1,4.692635238E-1,9.751882553E0,3.136404157E-1,9.768203105E0
4.411485370E-1,4.716577232E-1,9.756670952E0,3.136404157E-1,9.773098760E0
4.431485030E-1,4.884171486E-1,9.766247749E0,3.232172430E-1,9.783793528E0
4.451484690E-1,4.812345505E-1,9.756670952E0,3.280056417E-1,9.774037163E0
4.471484350E-1,4.764461517E-1,9.756670952E0,3.303998411E-1,9.773883213E0
4.491492680E-1,4.716577232E-1,9.775824547E0,3.375824392E-1,9.793016312E0
4.511501010E-1,4.668693244E-1,9.775824547E0,3.591302633E-1,9.793553343E0
4.531502670E-1,4.620809257E-1,9.783007622E0,3.567360640E-1,9.800409049E0
4.551502670E-1,4.572925270E-1,9.785401344E0,3.423708379E-1,9.802061707E0
4.571503000E-1,4.668693244E-1,9.771036148E0,3.447650373E-1,9.788257113E0
4.591492000E-1,4.764461517E-1,9.773430824E0,3.495534360E-1,9.791278702E0
4.611492330E-1,4.788403511E-1,9.773430824E0,3.447650373E-1,9.791225719E0
4.631493330E-1,4.668693244E-1,9.766247749E0,3.495534360E-1,9.783647054E0
4.651493660E-1,4.501099288E-1,9.768642426E0,3.447650373E-1,9.785082356E0
4.671493990E-1,3.519476354E-1,9.744700432E0,4.237737060E-1,9.760258080E0
4.691485650E-1,3.567360640E-1,9.727940559E0,4.237737060E-1,9.743699108E0
4.711477310E-1,3.567360640E-1,9.727940559E0,4.237737060E-1,9.743699108E0
4.731477310E-1,3.567360640E-1,9.727940559E0,4.237737060E-1,9.743699108E0
4.751477310E-1,3.399766386E-1,9.715970039E0,4.094084799E-1,9.730533039E0
4.771477310E-1,3.399766386E-1,9.682451248E0,3.902548850E-1,9.696274809E0
4.791477310E-1,3.711012602E-1,9.687239647E0,3.591302633E-1,9.700994932E0
4.811477310E-1,4.213795066E-1,9.718363762E0,2.992752194E-1,9.732097439E0
4.831477310E-1,4.644751251E-1,9.768642426E0,2.753331959E-1,9.783553564E0
4.851476970E-1,5.099649429E-1,9.787796021E0,2.825157940E-1,9.805143056E0
4.871476630E-1,5.770025849E-1,9.814131737E0,3.064578176E-1,9.835854316E0
4.891485290E-1,6.153098345E-1,9.842862129E0,3.519476354E-1,9.868353876E0
4.911493620E-1,6.392518282E-1,9.845256805E0,3.806780577E-1,9.873329745E0
4.931493950E-1,6.536170840E-1,9.845256805E0,4.237737060E-1,9.876025568E0
4.951493610E-1,6.488286853E-1,9.821314812E0,4.381389022E-1,9.852470197E0
4.971493270E-1,5.698199868E-1,9.747094154E0,4.501099288E-1,9.774105495E0
4.991492930E-1,5.099649429E-1,9.723152161E0,4.501099288E-1,9.746914954E0
5.011492930E-1,3.782838583E-1,9.680056572E0,4.118026793E-1,9.696193859E0
5.031488930E-1,2.609679997E-1,9.658509254E0,3.734954596E-1,9.669250445E0
5.051489260E-1,1.987187415E-1,9.668086052E0,3.615244627E-1,9.676883640E0
5.071489590E-1,1.532289088E-1,9.756670952E0,3.974374831E-1,9.765964556E0
5.091481250E-1,1.532289088E-1,9.756670952E0,3.974374831E-1,9.765964556E0
5.111472580E-1,1.532289088E-1,9.756670952E0,3.974374831E-1,9.765964556E0
5.131472910E-1,1.819593310E-1,9.771036148E0,3.950432837E-1,9.780711416E0
5.151473240E-1,2.729389966E-1,9.809343338E0,4.141969085E-1,9.821877188E0
5.171473240E-1,3.232172430E-1,9.826103210E0,4.213795066E-1,9.840443810E0
5.191472900E-1,4.261679053E-1,9.845256805E0,4.309563041E-1,9.863894970E0
5.211472560E-1,5.027823448E-1,9.883563995E0,4.165911078E-1,9.905108555E0
5.231472220E-1,5.410895944E-1,9.885957718E0,3.950432837E-1,9.908632456E0
5.251471880E-1,5.961562395E-1,9.864410400E0,3.543418646E-1,9.888758919E0
5.271471540E-1,6.488286853E-1,9.845256805E0,3.184288144E-1,9.871750460E0
5.291477200E-1,6.631938815E-1,9.845256805E0,3.256114423E-1,9.872939304E0
5.311481530E-1,6.871358752E-1,9.821314812E0,3.806780577E-1,9.852679642E0
5.331481530E-1,6.871358752E-1,9.794978142E0,3.758896589E-1,9.826242697E0
5.351481860E-1,6.871358752E-1,9.763854027E0,3.591302633E-1,9.794589104E0
5.371478860E-1,6.655880809E-1,9.739912033E0,3.615244627E-1,9.769319006E0
5.391479190E-1,6.440402865E-1,9.708786964E0,3.351882398E-1,9.735896639E0
5.411479520E-1,6.416460276E-1,9.711181641E0,2.657563984E-1,9.735984026E0
5.431479850E-1,6.703764796E-1,9.696816444E0,2.178723514E-1,9.722403105E0
5.451480180E-1,8.140285611E-1,9.656114578E0,2.537853718E-1,9.693688579E0
5.471480510E-1,3.399766386E-1,9.732728958E0,-5.267243832E-2,9.738807497E0
5.491472170E-1,3.495534360E-1,9.703998566E0,-1.221042871E-1,9.711059943E0
5.511463170E-1,3.495534360E-1,9.703998566E0,-1.221042871E-1,9.711059943E0
5.531463170E-1,4.141969085E-1,9.672874451E0,-4.548983276E-2,9.681845307E0
5.551463170E-1,4.596867263E-1,9.684844971E0,1.388636976E-1,9.696742604E0
5.571463170E-1,5.434837937E-1,9.761459351E0,7.182605267E-1,9.802926169E0
5.591459170E-1,5.434837937E-1,9.859622002E0,7.062895298E-1,9.899816440E0
5.611459170E-1,5.410895944E-1,9.902717590E0,6.464344859E-1,9.938534659E0
5.631463170E-1,3.998316824E-1,9.943418503E0,4.836287498E-1,9.963198967E0
5.651462830E-1,3.591302633E-1,9.960178375E0,3.782838583E-1,9.973827073E0
5.671462490E-1,4.381389022E-1,9.929053307E0,2.346317619E-1,9.941484664E0
5.691470820E-1,4.812345505E-1,9.909899712E0,1.891419291E-1,9.923380153E0
5.711479480E-1,5.458779931E-1,9.847650528E0,2.274491638E-1,9.865390860E0
5.731479140E-1,5.770025849E-1,9.787796021E0,3.184288144E-1,9.809958197E0
5.751478800E-1,5.674257874E-1,9.749488831E0,3.591302633E-1,9.772588144E0
5.771478460E-1,5.530605912E-1,9.680056572E0,3.806780577E-1,9.703313199E0
5.791478460E-1,5.195417404E-1,9.656114578E0,4.237737060E-1,9.679362403E0
5.811478460E-1,4.932055473E-1,9.665691376E0,4.716577232E-1,9.689752447E0
5.831478790E-1,4.429273009E-1,9.627384186E0,4.070142806E-1,9.646158379E0
5.851479120E-1,4.357447028E-1,9.644144058E0,3.543418646E-1,9.660483747E0
5.871479450E-1,3.974374831E-1,9.802161217E0,4.884171486E-1,9.822365926E0
5.891473780E-1,3.974374831E-1,9.802161217E0,4.884171486E-1,9.822365926E0
5.911469440E-1,3.974374831E-1,9.802161217E0,4.884171486E-1,9.822365926E0
5.931469770E-1,3.974374831E-1,9.802161217E0,4.884171486E-1,9.822365926E0
5.951469770E-1,4.141969085E-1,9.869198799E0,3.950432837E-1,9.885782883E0
5.971472770E-1,5.147533417E-1,9.895534515E0,2.968810201E-1,9.913360313E0
5.991472430E-1,4.740519226E-1,9.878775597E0,3.782838583E-1,9.897374965E0
6.011472090E-1,4.740519226E-1,9.852438927E0,4.237737060E-1,9.872935844E0
6.031471750E-1,5.099649429E-1,9.799766541E0,3.902548850E-1,9.820783440E0
6.051471410E-1,5.075707436E-1,9.783007622E0,3.830722570E-1,9.803652918E0
6.071471070E-1,4.860229492E-1,9.766247749E0,4.333505034E-1,9.787931654E0
6.091479400E-1,4.525041282E-1,9.749488831E0,4.333505034E-1,9.769600048E0
6.111488400E-1,4.309563041E-1,9.735123634E0,4.141969085E-1,9.753456546E0
6.131488730E-1,4.285621047E-1,9.732728958E0,3.902548850E-1,9.749973196E0
6.151489060E-1,4.237737060E-1,9.680056572E0,3.375824392E-1,9.695207130E0
6.171489390E-1,4.333505034E-1,9.656114578E0,2.753331959E-1,9.669754380E0
6.191493720E-1,4.477157295E-1,9.648932457E0,2.561795712E-1,9.662710536E0
6.211494050E-1,4.477157295E-1,9.656114578E0,2.896983922E-1,9.670828469E0
6.231494380E-1,4.141969085E-1,9.677662849E0,4.189853072E-1,9.695579714E0
6.251494710E-1,3.998316824E-1,9.694421768E0,4.381389022E-1,9.712550875E0
6.271495040E-1,3.543418646E-1,9.744700432E0,3.184288144E-1,9.756338533E0
6.291486370E-1,3.543418646E-1,9.744700432E0,3.184288144E-1,9.756338533E0
6.311477700E-1,3.543418646E-1,9.744700432E0,3.184288144E-1,9.756338533E0
6.331477700E-1,3.950432837E-1,9.756670952E0,3.208230138E-1,9.769934220E0
6.351477700E-1,4.261679053E-1,9.811738014E0,3.136404157E-1,9.825995739E0
6.371477700E-1,4.836287498E-1,9.828496933E0,3.184288144E-1,9.845539378E0
6.391477700E-1,5.219359994E-1,9.830891609E0,3.256114423E-1,9.850120295E0
6.411477700E-1,5.554547906E-1,9.826103210E0,3.543418646E-1,9.848166961E0
