"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.811096550E-1,6.224924326E-2,9.897929192E0,-7.182605099E-3,9.898127542E0
3.831096210E-1,-3.663128614E-1,9.943418503E0,3.639186621E-1,9.956816430E0
3.851096210E-1,-3.806780577E-1,9.993697166E0,2.681505978E-1,1.000453915E1
3.871096210E-1,-2.729389966E-1,9.988908768E0,2.537853718E-1,9.995859197E0
3.891096540E-1,-1.244984865E-1,9.938630104E0,1.005564705E-1,9.939918502E0
3.911088200E-1,-1.244984865E-1,9.938630104E0,1.005564705E-1,9.939918502E0
3.931079860E-1,-1.244984865E-1,9.938630104E0,1.005564705E-1,9.939918502E0
3.951080190E-1,-9.576806426E-2,9.917082787E0,4.070143029E-2,9.917628705E0
3.971080520E-1,-5.027823523E-2,9.852438927E0,-7.422025502E-2,9.852846764E0
3.991080850E-1,-4.788403213E-2,9.862015724E0,-1.556231081E-1,9.863359751E0
4.011081180E-1,-1.029506698E-1,9.864410400E0,-1.795651317E-1,9.866581729E0
4.031081180E-1,-2.920926213E-1,9.830891609E0,-1.556231081E-1,9.836461075E0
4.051081180E-1,-3.854664862E-1,9.818920135E0,-1.005564705E-1,9.826997947E0
4.071081180E-1,-4.405331016E-1,9.816526413E0,-6.703764945E-2,9.826634942E0
4.091081180E-1,-5.626373887E-1,9.835680008E0,1.197100803E-2,9.851766611E0
4.111089840E-1,-6.895300746E-1,9.859622002E0,6.224924326E-2,9.883899671E0
4.131098500E-1,-8.020575643E-1,9.847650528E0,1.197100878E-1,9.880984149E0
4.151098500E-1,-1.137245774E0,9.739912033E0,2.944868207E-1,9.810501356E0
4.171098160E-1,-1.477222443E0,9.584288597E0,4.165911078E-1,9.706406246E0
4.191097820E-1,-1.675941229E0,9.517251015E0,3.782838583E-1,9.671088075E0
4.211097480E-1,-1.702277422E0,9.409511566E0,3.663128614E-1,9.569265460E0
4.231097140E-1,-1.570596337E0,9.390357971E0,4.237737060E-1,9.530224543E0
4.251096800E-1,-1.465251446E0,9.416694641E0,4.501099288E-1,9.540634083E0
4.271096460E-1,-1.259350061E0,9.457395554E0,5.267243981E-1,9.555403279E0
4.291096120E-1,-7.086837292E-1,9.629778862E0,3.016694188E-1,9.660531973E0
4.311087120E-1,-7.086837292E-1,9.629778862E0,3.016694188E-1,9.660531973E0
4.331078450E-1,-7.086837292E-1,9.629778862E0,3.016694188E-1,9.660531973E0
4.351075110E-1,-6.655880809E-1,9.663297653E0,2.944868207E-1,9.690668270E0
4.371075440E-1,-4.644751251E-1,9.682451248E0,3.256114423E-1,9.699052641E0
4.391075770E-1,-3.902548850E-1,9.706393242E0,3.016694188E-1,9.718918308E0
4.411076100E-1,-1.604115069E-1,9.723152161E0,1.867477298E-1,9.726268272E0
4.431076430E-1,1.053448766E-1,9.763854027E0,3.711012602E-1,9.771471698E0
4.451076760E-1,1.244984865E-1,9.785401344E0,4.548983276E-1,9.796760272E0
4.471077090E-1,-4.548983276E-2,9.806949615E0,2.418143749E-1,9.810035896E0
4.491077090E-1,-1.915361360E-2,9.823708534E0,1.771709323E-1,9.825324716E0
4.511085420E-1,7.182605099E-3,9.828496933E0,2.130839527E-1,9.830809139E0
4.531093750E-1,-7.182605099E-3,9.866804123E0,3.519476354E-1,9.873081704E0
4.551093410E-1,4.788403213E-2,9.830891609E0,5.386953950E-1,9.845756215E0
4.571093070E-1,8.379705995E-2,9.778219223E0,5.817909837E-1,9.795870246E0
4.591092730E-1,-1.460463107E-1,9.835680008E0,5.722141862E-1,9.853393315E0
4.611083390E-1,-1.580173075E-1,9.754277229E0,7.038952708E-1,9.780918274E0
4.631083390E-1,-1.244984865E-1,9.677662849E0,6.440402865E-1,9.699868349E0
4.651083390E-1,-2.537853718E-1,9.660902977E0,6.057330370E-1,9.683200187E0
4.671083720E-1,-3.280056417E-1,9.742305756E0,6.320692301E-1,9.768296712E0
4.691084050E-1,-6.775590777E-1,9.862015724E0,3.543418646E-1,9.891612538E0
4.711075710E-1,-5.913678408E-1,9.897929192E0,4.165911078E-1,9.924326998E0
4.731067370E-1,-5.913678408E-1,9.897929192E0,4.165911078E-1,9.924326998E0
4.751058700E-1,-5.961562395E-1,9.962572098E0,4.405331016E-1,9.990110834E0
4.771050030E-1,-5.243301988E-1,9.979331970E0,4.932055473E-1,1.000526064E1
4.791047690E-1,-4.692635238E-1,1.003679276E1,4.692635238E-1,1.005870893E1
4.811047690E-1,-8.475474119E-1,1.020438671E1,3.639186621E-1,1.024598856E1
4.831038690E-1,-8.786720037E-1,1.015650272E1,4.668693244E-1,1.020512514E1
4.851038690E-1,-9.050082564E-1,1.008228302E1,5.099649429E-1,1.013565662E1
4.871038690E-1,-7.541735172E-1,9.933841705E0,3.375824392E-1,9.968146800E0
4.891038690E-1,-8.403648138E-1,1.002482224E1,2.035071403E-1,1.006204199E1
4.911047350E-1,-8.331822157E-1,1.001285076E1,2.082955539E-1,1.004961492E1
4.931056010E-1,-6.847416759E-1,9.945813179E0,3.687070608E-1,9.976172405E0
4.951052670E-1,-6.560112834E-1,9.921871185E0,4.094084799E-1,9.951959301E0
4.971055670E-1,-7.206547260E-1,1.007988834E1,2.753331959E-1,1.010936697E1
4.991055330E-1,-7.254431248E-1,1.018283939E1,3.375824392E-1,1.021422771E1
5.011054990E-1,-4.094084799E-1,1.012298393E1,4.501099288E-1,1.014125327E1
5.031054650E-1,-1.867477298E-1,1.004397583E1,4.884171486E-1,1.005757806E1
5.051054310E-1,2.298433632E-1,9.864410400E0,5.602431893E-1,9.882979963E0
5.071056310E-1,4.620809257E-1,9.689633369E0,6.536170840E-1,9.722640017E0
5.091055970E-1,-5.075707436E-1,1.004876423E1,1.556231081E-1,1.006277840E1
5.111047300E-1,-3.208230138E-1,9.900322914E0,2.035071403E-1,9.907610023E0
5.131038960E-1,-3.208230138E-1,9.900322914E0,2.035071403E-1,9.907610023E0
5.151039290E-1,-3.208230138E-1,9.900322914E0,2.035071403E-1,9.907610023E0
5.171039620E-1,3.495534360E-1,9.296984673E0,2.346317619E-1,9.306511896E0
5.191039950E-1,1.027112484E0,8.399158478E0,1.091755986E0,8.531866989E0
5.211049280E-1,3.280056417E-1,8.719982147E0,1.039083481E0,8.787796699E0
5.231049610E-1,-8.475474119E-1,9.241917610E0,6.344634295E-1,9.302361075E0
5.251049940E-1,-1.161187768E0,9.900322914E0,3.375824392E-1,9.973901581E0
5.271049940E-1,-1.568202138E0,1.023311710E1,-2.394201700E-3,1.035258177E1
5.291049600E-1,-1.853112102E0,1.064970875E1,-3.136404157E-1,1.081428182E1
5.311057930E-1,-1.766920805E0,1.066167927E1,-1.412578970E-1,1.080802330E1
5.331066260E-1,-8.882488012E-1,1.009425354E1,-1.388636976E-1,1.013421056E1
5.351074920E-1,-4.118026793E-1,9.627384186E0,1.508347094E-1,9.637367837E0
5.371083580E-1,9.552865028E-1,8.365639687E0,1.460463047E0,8.545727118E0
5.391085910E-1,1.242590666E0,8.921094894E0,1.707065821E0,9.167553621E0
5.411084570E-1,1.359906554E0,9.239523888E0,1.491587639E0,9.457429946E0
5.431093570E-1,3.734954596E-1,1.013974380E1,1.039083481E0,1.019968616E1
5.451093900E-1,-1.158793569E0,1.098250294E1,-1.316810995E-1,1.104425250E1
5.471094230E-1,-1.130063176E0,1.099686813E1,-4.932055473E-1,1.106577622E1
5.491094560E-1,-1.261744261E0,9.646537781E0,1.628057212E-1,9.730066569E0
5.511086220E-1,-1.261744261E0,9.646537781E0,1.628057212E-1,9.730066569E0
5.531077550E-1,-2.061407566E0,1.002482224E1,-4.046200812E-1,1.024256703E1
5.551084550E-1,-2.061407566E0,1.002482224E1,-4.046200812E-1,1.024256703E1
5.571081550E-1,-2.736572504E0,1.063534355E1,-4.141969085E-1,1.098958237E1
5.591081880E-1,-2.298433542E0,1.106629944E1,-1.580173075E-1,1.130357242E1
5.611081880E-1,-1.977610588E0,1.132008457E1,1.915361360E-2,1.149154581E1
5.631081880E-1,-9.409212470E-1,1.151401520E1,2.035071403E-1,1.155418945E1
5.651081880E-1,1.194706678E0,1.064970875E1,9.097966552E-2,1.071689777E1
5.671079540E-1,2.489969730E0,9.806949615E0,-1.675941236E-2,1.011812685E1
5.691079540E-1,3.373430252E0,8.561964989E0,-1.436521020E-2,9.202580208E0
5.711088200E-1,-2.059013367E0,9.591471672E0,-5.147533417E-1,9.823483897E0
5.731096530E-1,-3.890577793E0,1.024748230E1,-1.197100878E-1,1.096183468E1
