"event","experiment time","system time","system time text"
"START",0.000000000E0,1693650915.192,"2023-09-02 16:05:15.192 UTC+05:30"
"PAUSE",6.673828526E1,1693650981.930,"2023-09-02 16:06:21.930 UTC+05:30"
