"event","experiment time","system time","system time text"
"START",0.000000000E0,1693651132.708,"2023-09-02 16:08:52.708 UTC+05:30"
"PAUSE",8.415758586E1,1693651216.865,"2023-09-02 16:10:16.865 UTC+05:30"
